Category	ID	Term	Genes	adj_pval
MF	GO:0008270	zinc ion binding	"WT1, ZCWPW1, ZNFX1, ZYX, TTF2, LHX5, ADAMTS14, RNF19B, ZNF598, USP13, DNPEP, ADAM33, NR5A2, NR4A3, TRAF2, CPM, SP140, LMO2, TOPORS, HDAC6, DHX58, TRIM21, PHC3, XAF1, CBLL1, MMP13, ADAMTS4, TRIM14, LOC100622028, PHF11, OAS2, SETDB2, MMP1, OAS1, MMP3, MMP12, BSPRY, MMP15, NEURL3, LOC733579, MID1, LOC100620343, MDM2, MORC3, MYCBP2, LOC100627416, PPARD, ACY1, BRCA1, MARCH5, LOC106506672, LOC397689, ERAP1, TRAF6, CA3, LOC100157336, LIMCH1, LOC100737114, ZCCHC2, TNFAIP3, ENPEP, PRICKLE2, ADAMTS9, DDX58, SHH, TAB2, CNDP2, QTRT2, APOBEC1, CPXM2, PHC1, TRIM26, ZMAT3, AIRE"	0.46942951
BP	GO:0008283	cell proliferation	"ENPEP, NBN, FAM83B, PELO, IRF2, STAT3, TSPAN1, USP13, TXNRD1, ROS1, SIX1, USP28, TACC2"	0.954101573
BP	GO:0008284	positive regulation of cell proliferation	"EREG, BAMBI, HGF, NCCRP1, RAB25, E2F3, PGF, NKX3-1, IL15, TRPM4, GREM1, FGF21, CXCL10, TIMP1, UBE2A, LOC100525175, SLC35F6, FOLR2, SLC25A5, EPHA1, ACER2, FGFBP1, SHAS2"	0.759248751
CC	GO:0009897	external side of plasma membrane	"CCR7, CD2, IL7R, ICOSLG, VTCN1, TNF, ITGA5, SELL, CD69, CXCL9, VCAM1, THBS1, ENPEP, IL12RB1, CD40, FAS, LDLR, CD83, CXCL10, ICAM1, P2RX7, CD274, SLA-DQA1, SCNN1G, CD86, LOC100737857"	9.46E-05
CC	GO:0009986	cell surface	"TLR2, TPBG, WNT5A, HAVCR2, FZD5, SLA-DMA, SDC4, CD109, KCNN2, CPM, FGFBP1, APOA4, EPHA2, LRFN1, CLMP, ADAMTS9, SHH, TNFSF18, LDLR, GREM1, ANTXR1, SLC1A4, SULF1, ADGRG2, ROS1, ACKR3, LOC100623827, PLAU"	0.520879359
BP	GO:0010629	negative regulation of gene expression	"SAA3, ROS1, NOCT, GJA1, NOS2, FYN, CCL3L1, BBS2, CTGF, HAVCR2"	0.93293572
CC	GO:0016324	apical plasma membrane	"JAG1, ENPEP, GJA1, SLC12A2, UPK1B, F2RL2, SLC2A2, MLC1, ATP6V1B1, UPK3A, PLD1, FZD3, LOC100737857, TCIRG1"	0.85037179
BP	GO:0016477	cell migration	"BAMBI, NCK2, PEAK1, IL12A, SDC4, ENPEP, THBS1, ABL2, FYN, JAK3, CTGF, TSPAN1"	0.955112482
BP	GO:0030154	cell differentiation	"TEC, MGP, ELK4, DMTF1, ABL2, EHF, ETV7, SPI1, PPARD, HES6, TXK, JAG2, ETV3, GNA13, ETV6, MYB, SH2B3, FYN, ETS1, CTGF, ETV1"	0.015075729
MF	GO:0030246	carbohydrate binding	"CLEC2B, GALNT15, LGALS9, LGALS3, SELE, SELL, CHI3L1, FBXO2, LGALS8, OLR1"	0.980534194
BP	GO:0030855	epithelial cell differentiation	"UPK1B, WT1, BMP7, ALDOC, TAGLN, NR5A2, LGALS3, EHF, SIX1, UPK3A"	0.10385791
BP	GO:0032496	response to lipopolysaccharide	"CCR7, IDO1, S100A14, NOCT, PTGIR, FAS, CD40, CXCL10, P2RX7, IL12A, CXCL11, CXCL2, DUSP10, CXCL9, NFKBIA, CASP1, CXCL8"	0.007078725
BP	GO:0035556	intracellular signal transduction	"NUAK2, SH3BP5, TEC, PPP1R1B, ARHGEF6, DGKA, DEPTOR, ASB9, ASB13, NIM1K, PLCB3, BLNK, SNRK, PLCD1, JAK3, GUCY2C, GMIP, SMAD7, PLEK, SGK1, LOC102161161, SOCS1, SH2B3, DEPDC7, CISH, RGS14, PLEKHM1, RASAL1"	0.258612615
BP	GO:0042102	positive regulation of T cell proliferation	"NCK2, IL12A, CCL5, VTCN1, IL15, TRAF6, CD86, JAK3, HAVCR2, VCAM1"	0.050691933
BP	GO:0042127	regulation of cell proliferation	"BID, JAG1, TEC, TOPORS, PTGS1, TGFB3, ABL2, NOS2, BCL6, FAS, CD40, PLCD1, CXCL10, BRCA1, TXK, JAG2, APOBEC1, NR5A2, SGK1, CXCL11, CXCL2, FYN, CXCL9, PLAU, NFKBIA, CXCL8"	5.87E-04
BP	GO:0042981	regulation of apoptotic process	"MAGED1, TGFB3, BCL2L14, CD40, INHBE, INHBA, BMP7, DUSP1, SGK1, CASP10, TRAF6, TRAF2, FYN, LOC100522887, ETS1, CASP1, CFLAR"	0.258715813
BP	GO:0043066	negative regulation of apoptotic process	"NUAK2, WT1, CITED2, NKX3-2, DNAJA1, MDM2, AATF, FAS, GREM1, PLK3, WNT5A, KRT18, STAT3, DNAJC3, ADAR, PROC, LOC100525175, ASNS, BNIP3, SETX, LOC100512869, CASP3, IFIT3, CYR61"	0.397065918
BP	GO:0043123	positive regulation of I-kappaB kinase/NF-kappaB signaling	"ZC3HAV1, GJA1, CD40, TAB2, SHISA5, REL, SLC44A2, CASP10, TNFSF10, MYD88, TRAF6, UBD, FYN, TICAM2, RIPK1, ANKRD17, CASP1, CFLAR"	0.047002725
BP	GO:0043491	protein kinase B signaling	"SESN2, EPHA2, TNF, NKX3-1, CCL2, CCL5, GAS6, CD40, SETX, CCL3L1"	0.007232018
BP	GO:0045071	negative regulation of viral genome replication	"ZC3HAV1, ISG20, TNF, ADAR, MX1, CCL5, RSAD2, OAS1, PARP10, OASL, IFIT1"	4.68E-04
BP	GO:0045087	innate immune response	"LOC733579, TEC, ABL2, DDX58, TLR2, JAK3, IFN-ALPHAOMEGA, TXK, ISG20, REL, TRIM14, MYD88, RSAD2, OAS1, FYN, LOC100157336, TLR10, ANKRD17, TRIM26"	0.932212035
CC	GO:0045121	membrane raft	"ICAM1, GPC1, SULF1, TNF, MLC1, GJA1, SHH, TLR2, FAS, TRAF2, FYN, OLR1"	0.571659158
BP	GO:0045766	positive regulation of angiogenesis	"BRCA1, C5, THBS1, ADM2, ERAP1, HYAL1, GREM1, EPHA1, CHI3L1, WNT5A"	0.922650853
BP	GO:0050729	positive regulation of inflammatory response	"CCL8, CCL2, CCL5, CCL4, TNFSF18, TLR2, CCL23, TLR10, CCL3L1, WNT5A"	0.03859257
BP	GO:0050821	protein stabilization	"USP13, SMAD7, PLPP3, DSG1, MORC3, USP2, LOC100157336, CREB1, IFI30, RASSF1, TSPAN1"	0.929344301
BP	GO:0051092	positive regulation of NF-kappaB transcription factor activity	"TNF, TRIM14, LOC102161161, TNFSF18, TRAF6, CD40, TLR2, TRAF2, GREM1, RIPK1, WNT5A, RHEBL1, PSMA6"	0.266274551
BP	GO:0051607	defense response to virus	"LOC733579, STAT2, IRF1, CD40, IFN-ALPHAOMEGA, CXCL10, ISG20, ADAR, MX1, LOC106506672, IFIT2, OAS2, BNIP3, RSAD2, OAS1, CXCL9, CD86, OASL, IFNB1, IFIT1, IFIT3"	0.015533608
BP	GO:0060326	cell chemotaxis	"CCL8, CXCL10, EPHA2, HGF, SAA3, CCL5, CXCL11, CCL4, CCL20, CXCL2, CCL23, CCL3L1"	0.047261326
CC	GO:0070062	extracellular exosome	"GPC1, MGP, PTGS1, WNT9A, TPPP3, TMEM106A, ANKFY1, SLC25A25, COL6A3, PLP2, CYB5A, DNAJC3, PLPP3, EDF1, METRNL, PCK1, CRABP2, CPM, SLC25A5, MUM1L1, VCAM1, AK1, DNAJB4, THBS1, DNAJA1, SCARB2, FAS, KRT8, PLCD1, NCOA3, KRT18, NEBL, GNAZ, TIMP1, CNP, IGFBP6, ICAM1, LRRK2, TNFSF10, SCNN1G, FBLN5, CD86, RALB, OAF, MYO1G, LGALS8, PLSCR4, C5, ALDOC, SCEL, FBN1, HAVCR2, TSPAN1, C2, PSME2, SLC5A12, VPS37D, PM20D2, TNFAIP3, FXYD3, UGDH, ENPEP, CLMP, SHISA5, ANTXR1, ABCB6, SLC1A4, SUSD2, PLA1A, BCAS1, CD274, RAB8B, HYAL1, ASS1, AGMAT, ACAA2, ACAT2, KRT19, IL18BP, LOC100515166, GM2A, FAT2, MAPK14, CHI3L1, CFD, OLR1, TIMP3, TXNRD1, SDC4, GAS6, UPK3A, CMTM6, APOA4, RND3, EPX, NCCRP1, SERPING1, HNMT, ANXA13, PDHB, DNAJC13, ALDH1L2, NANS, PI15, SLC44A4, DSG1, MYO7B, ATP6V1B1, ACAT1, SH3GL2, BID, RAB25, WARS, IVL, HEBP1, GJA1, PLAUR, NDRG1, FAM212A, CTDSPL, UPK1B, STEAP4, SLA-DMA, GNA13, SLC35F6, SERPINB5, GIPC2, ERAP1, RILPL2, TOR3A, PLLP, SLC44A1, CP, PSMA6, PPA1, S100A14, ACADSB, GCNT3, CD40, NAMPT, SLC12A2, ANGPTL2, EVPL, FBXO2, HSPA12A, SLC44A2, LGALS3, ADGRG2, SYTL1, ITGB6, PLAU"	0.00221848
BP	GO:0070098	chemokine-mediated signaling pathway	"CCL8, CXCL10, CCL2, CCL5, CXCL11, CCL4, CCL20, CXCL2, CCL23, CCL3L1, CXCL9, CXCL8"	0.00771995
BP	GO:0070374	positive regulation of ERK1 and ERK2 cascade	"CCL8, SAA3, CCL2, CCL5, GPR183, CCL23, FGF21, CCL3L1, CHI3L1, HAVCR2, ICAM1, CCL4, ACKR3, GAS6, CCL20, NRP1, CTGF"	0.159917995
BP	GO:0071222	cellular response to lipopolysaccharide	"CXCL10, PLSCR4, IL12A, NOS2, TRAF6, ANKRD1, TICAM2, CD86, WNT5A, HAVCR2"	0.430253178
BP	GO:0071346	cellular response to interferon-gamma	"CCL8, CCL2, CCL5, IL12RB1, CCL4, NOS2, CCL20, CCL23, CCL3L1, WNT5A"	0.018712017
BP	GO:0071347	cellular response to interleukin-1	"CCL8, NKX3-1, CCL2, CCL5, CCL4, CCL20, CCL23, HYAL1, ANKRD1, CCL3L1, SHAS2"	0.009193972
BP	GO:0071356	cellular response to tumor necrosis factor	"CCL8, NKX3-1, CCL2, CCL5, CCL23, CCL3L1, CHI3L1, BRCA1, CCL4, CCL20, HYAL1, ANKRD1, RIPK1, SHAS2"	0.003367887
INTERPRO	IPR000152	EGF-type aspartate/asparagine hydroxylation site	"JAG1, JAG2, PROC, SVEP1, DLL4, GAS6, LDLR, HMCN2, FBLN5, FBN1"	0.905920082
INTERPRO	IPR000315	"Zinc finger, B-box"	"LOC733579, MID1, TRIM14, LOC100622028, LOC100627416, LOC100157336, TRIM21, BSPRY, TRIM26, LOC100737114"	0.844688233
INTERPRO	IPR000742	Epidermal growth factor-like domain	"EREG, JAG1, PTGS1, THBS1, MEGF9, DLL4, LDLR, FAT2, HMCN2, FBN1, JAG2, PROC, ADAM33, SVEP1, NTNG2, GAS6, FBLN5, SELE, SELL, PLAU, MUC4"	0.434846218
INTERPRO	IPR000980	SH2 domain	"TEC, STAT2, NCK2, ABL2, STAT4, HSH2D, BLNK, SHF, JAK3, STAT3, TXK, SOCS1, RIN3, SH2B3, CISH, FYN"	0.136866062
INTERPRO	IPR001245	Serine-threonine/tyrosine-protein kinase catalytic domain	"ERBB2, TEC, EPHA2, EPHA7, INSR, ABL2, JAK3, GUCY2C, TXK, LOC100519652, ROS1, ROR1, FYN, RIPK1, EPHA1"	0.741741869
INTERPRO	IPR001811	Chemokine interleukin-8-like domain	"CCL8, CXCL10, CCL2, CCL5, CXCL11, CCL4, CCL20, CXCL2, CCL23, CCL3L1, CXCL9, CXCL8"	0.01265884
INTERPRO	IPR001849	Pleckstrin homology domain	"TEC, ARHGEF6, DOCK10, ARAP2, FGD2, DOK1, IRS1, PLCD1, PLEKHA6, PLEKHA4, PLEK, PHLDA1, SH2B3, ARHGAP42, ACAP3, RASA3, PLD1, LOC100737105, PLEKHM1, RASAL1"	0.846237884
INTERPRO	IPR003006	"Immunoglobulin/major histocompatibility complex, conserved site"	"SLA-7, LOC106504143, SLA-DRA, SLA-DMA, SLA-DMB, SLA-DQB1, LOC100513601, SLA-DQA1, TAPBP, B2M, SLA-6, SLA-1"	0.003398843
INTERPRO	IPR003597	Immunoglobulin C1-set	"SLA-7, LOC106504143, SLA-DRA, SLA-DMA, SLA-DMB, SLA-DQB1, LOC100513601, SLA-DQA1, TAPBP, B2M, SLA-6, TAPBPL, SLA-1"	0.002244931
INTERPRO	IPR007110	Immunoglobulin-like domain	"CD2, NECTIN1, LRRC4C, UNC5B, IL18BP, SLA-DMB, VTCN1, ICOSLG, FCRLB, LOC100625556, TAPBPL, TIMD4, HAVCR2, FCGR2B, SLA-7, LOC100525346, LOC106504143, SLA-DMA, LOC100513601, ROR1, LOC100739844, SEMA3E, VCAM1, LRFN1, TAPBP, CD83, HMCN2, ROBO1, IL1RAP, B2M, SLA-6, MFAP3L, ICAM1, SLA-DRA, TMEM25, SEMA3B, SLA-DQB1, CD274, SLA-DQA1, CD80, CD86, SLA-1"	0.087606224
INTERPRO	IPR008266	"Tyrosine-protein kinase, active site"	"ERBB2, TEC, EPHA2, EPHA7, INSR, ABL2, JAK3, TXK, PEAK1, LOC100519652, ROS1, ROR1, FYN, EPHA1"	0.119899029
INTERPRO	IPR009030	"Insulin-like growth factor binding protein, N-terminal"	"JAG1, ERBB2, EPHA2, DLL4, LDLR, HMCN2, FBN1, JAG2, IGFBP6, SVEP1, GAS6, FBLN5, IGFBP4, CTGF, CYR61"	0.197674166
INTERPRO	IPR011991	Winged helix-turn-helix DNA-binding domain	"ELK4, E2F3, DEPTOR, EHF, IRF1, RFX5, ETV7, SPI1, IRF2, STN1, PAX9, ADAR, ETV3, PLEK, ETV6, ZBP1, FOXP4, DEPDC7, IRF9, ETS1, ETV1"	0.4938
INTERPRO	IPR013032	"EGF-like, conserved site"	"EREG, JAG1, THBS1, MEGF9, DLL4, LDLR, HMCN2, FBN1, JAG2, PROC, ADAM33, SVEP1, NTNG2, GAS6, FBLN5, SELE, SELL, PLAU"	0.691470668
INTERPRO	IPR013106	Immunoglobulin V-set	"CD2, NECTIN1, LOC100525346, LRRC4C, CD274, VTCN1, ICOSLG, CD80, HMCN2, ROBO1, TAPBPL, CD86, TIMD4, HAVCR2"	0.948958957
INTERPRO	IPR013320	"Concanavalin A-like lectin/glucanase, subgroup"	"LOC733579, MID1, MAMDC2, THBS1, LGALS9, WDFY4, FAT2, TRIM21, LOC106506957, TRIM14, LGALS3, SVEP1, LOC100622028, GAS6, NRP1, TRIM26, LGALS8"	0.975118175
INTERPRO	IPR013783	Immunoglobulin-like fold	"CD2, NECTIN1, UNC5B, IL7R, VTCN1, TAPBPL, COL6A3, SLA-7, LOC100525346, LOC106504143, EPHA1, VCAM1, LRFN1, IL10RA, IL12RB1, TAPBP, HMCN2, ROBO1, B2M, SLA-6, MFAP3L, SLA-DRA, ICAM1, TMEM25, ROS1, SLA-DQB1, SLA-DQA1, CD86, LRRC4C, MID1, EPHA7, SLA-DMB, INSR, ICOSLG, MYCBP2, FCRLB, LOC100625556, LOC100627416, TIMD4, HAVCR2, FCGR2B, SLA-DMA, REL, LOC100513601, NFAT5, ROR1, LOC100739844, NXPE3, EPHA2, CLMP, CD83, IL1RAP, IL21R, SEMA3B, CD274, CD80, SLA-1"	0.018777233
INTERPRO	IPR020635	"Tyrosine-protein kinase, catalytic domain"	"TXK, ERBB2, TEC, EPHA2, EPHA7, ROS1, INSR, LOC100519652, ABL2, FYN, EPHA1, JAK3"	0.257982736
INTERPRO	IPR020683	Ankyrin repeat-containing domain	"LOC100525061, NFKBIE, ASB13, ASB9, ANKFY1, ABTB2, SOWAHB, LRRK2, PSMD10, ANKRD33B, RAI14, TANC2, ANKRD49, ANKRD37, ACAP3, ANKUB1, ANKRD1, ANKRD17, NFKBIA"	0.885552331
KEYWORDS	KEY001	Calcium	"DCHS1, DGKA, FAT2, DSG4, CDHR4, FBN1, GAS6, PCDH10, KCNIP1, PCDH1, S100A16, ENPEP, LOC100738826, ANXA13, HMCN2, KCNIP2, PROC, MMP13, DSG1, DSC1, ATP2B4, MMP1, MMP3, FBLN5, MMP12, MMP15, NRP1"	0.159022097
KEYWORDS	KEY002	Cell adhesion	"BVES, NECTIN1, LOC100738826, DSG4, OLR1, ITGA5, DSC1, DSG1, SELE, SELL, ITGB6, PCDH10, CTGF, PCDH1"	0.12639472
KEYWORDS	KEY003	Chemotaxis	"CCL8, CXCL10, CCL2, CCL5, CXCL11, CCL4, CCL20, CXCL2, CCL23, CCL3L1, CXCL9, CXCL8"	0.001536631
KEYWORDS	KEY004	Cytokine	"CCL8, CCL2, CCL5, IL15, GREM1, CCL23, CCL3L1, NAMPT, IFN-ALPHAOMEGA, CXCL10, TNF, IL12A, IL7, CXCL11, CCL4, TNFSF15, TNFSF10, CXCL2, CCL20, CXCL9, IFNB1, CXCL8"	0.002356603
KEYWORDS	KEY005	Cytoplasm	"BID, PPP1R1B, WT1, GLRX, HEBP1, IVL, CHI3L1, STAT3, ACY1, HOPX, CYB5A, SMAD7, ATG4A, TXNRD1, NT5C3A, MYD88, TRAF6, CA3, FYN, CAV2, NFKBIA, PSMA6, CASP1, AK1, STAT2, MAGED1, SELENOS, DDX58, IRF1, PELO, STAT4, NAMPT, BBS2, TXNIP, OPTN, FBXO32, QTRT2, MAP2, ISG20, MX1, SAT1, KYNU, OAS1, CASP3"	0.35893047
KEYWORDS	KEY006	Developmental protein	"JAG1, BVES, HOXB7, MGP, WNT9A, B3GNT5, DLL4, WNT5A, HOPX, JAG2, PAX9, FZD5, DRAXIN, FRZB, FYN, IFRD1, FZD3"	0.211606402
KEYWORDS	KEY007	Disulfide bond	"HGF, MGP, OLFML2A, WNT9A, WNT5A, IFN-ALPHAOMEGA, BMP7, LOC106504143, ADAM33, CHGB, CCL8, THBS1, CCL2, FAS, HMCN2, SLA-6, B2M, CXCL10, TIMP1, SLA-DRA, IGFBP6, TMEM25, MMP13, SRPX2, SLA-DQB1, CXCL11, CCL4, SLA-DQA1, NTNG2, MMP1, MMP3, FBLN5, MMP12, CD86, GABRP, C5, LRRC4C, TLR2, HTR1B, FBN1, JAG2, C2, LOC100513601, ROR1, PRRG1, FZD3, LOX, ENPEP, ADAMTS9, MEGF9, SEMA6D, ANTXR1, SUSD2, SEMA3B, CD274, FRZB, CD80, HYAL1, SLA-1, NECTIN1, ADAMTS14, FAT2, PRRG4, CHI3L1, CFD, OLR1, SLA-7, TIMP3, LOC100525346, TNF, TXNRD1, IL7, GAS6, GNRHR, CXCL9, LRFN1, IL15, LDLR, PROC, ADAMTS4, IL12A, GALNT15, TIMP4, SVEP1, MMP15, NRP1, GLRX, ADORA1, SLA-DMB, TGFB3, INSR, ICOSLG, GJA1, DLL4, IFI30, INHBE, INHBA, FZD5, SLA-DMA, DPEP2, IGFBP4, SELE, SELL, TLR10, IFNB1, LOC100739844, CYR61, SEMA3E, JAG1, MFRP, EDN1, CD40, ANGPTL2, EDNRA, TXNIP, CXCL2, LOC100512727, ITGB6, PLAU, CTGF, CXCL8"	4.61E-07
